CO(GT),PT08.S2(NMHC),C6H6(GT),PT08.S1(CO),PT08.S5(O3),NOx(GT),PT08.S3(NOx),NO2(GT),datetime,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2.6,1045.5,11.881723488680304,1360.0,1267.5,166.0,1056.25,113.0,2004-03-10 18:00:00,18,10,3,2,0,-1.0,-1.8369701987210297e-16,0.8978045395707416,-0.4403941515576344,1.0,6.123233995736766e-17
2.9,1019.75,11.151581216129403,1383.0,1104.0,243.0,1008.0,135.0,2004-03-11 17:00:00,17,11,3,3,0,-0.9659258262890683,-0.25881904510252063,0.7907757369376989,-0.6121059825476626,1.0,6.123233995736766e-17
1.8,1353.0,22.074162063223632,1544.5,1587.75,179.8,767.25,109.0,2004-03-12 09:00:00,9,12,3,4,0,0.7071067811865476,-0.7071067811865475,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17
3.0,1045.0,11.867358322901142,1457.75,1098.5,170.0,973.75,129.0,2004-03-14 16:00:00,16,14,3,6,1,-0.8660254037844385,-0.5000000000000004,0.29936312297335804,-0.9541392564000488,1.0,6.123233995736766e-17
4.5,1332.5,21.31268654106716,1616.5,1818.5,349.0,685.75,150.0,2004-03-18 10:00:00,10,18,3,3,0,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.8,1126.5,14.305786381113023,1472.75,1567.75,224.0,830.5,152.0,2004-03-18 11:00:00,11,18,3,3,0,0.258819045102521,-0.9659258262890682,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.2,1067.5,12.521106305109699,1378.5,1373.5,171.0,898.75,139.0,2004-03-18 12:00:00,12,18,3,3,0,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.2,1056.25,12.192364229470941,1385.25,1267.5,149.0,891.0,133.0,2004-03-18 13:00:00,13,18,3,3,0,-0.2588190451025208,-0.9659258262890683,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.3,1086.75,13.092244786448635,1378.75,1143.5,137.0,901.25,126.0,2004-03-18 14:00:00,14,18,3,3,0,-0.4999999999999997,-0.8660254037844388,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.2,1128.6666666667,14.373247939096442,1321.6666666667,1109.3333333333,149.0,933.66666666667,128.0,2004-03-18 15:00:00,15,18,3,3,0,-0.7071067811865471,-0.7071067811865479,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.8,1205.0,16.835634342955675,1495.75,1347.25,172.0,822.0,169.0,2004-03-18 16:00:00,16,18,3,3,0,-0.8660254037844385,-0.5000000000000004,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.7,1131.25,14.453859645603398,1408.75,1205.75,166.0,873.0,149.0,2004-03-18 17:00:00,17,18,3,3,0,-0.9659258262890683,-0.25881904510252063,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
3.7,1338.0,21.515865798889894,1512.75,1397.0,214.0,764.25,156.0,2004-03-18 18:00:00,18,18,3,3,0,-1.0,-1.8369701987210297e-16,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
3.2,1121.25,14.142883364271057,1430.25,1321.5,178.0,814.0,135.0,2004-03-18 21:00:00,21,18,3,3,0,-0.7071067811865477,0.7071067811865474,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.1,989.0,10.305664104042567,1333.25,1194.0,129.0,885.25,121.0,2004-03-18 22:00:00,22,18,3,3,0,-0.5000000000000004,0.8660254037844384,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
1.7,910.5,8.276765149047742,1261.5,1061.5,95.0,948.25,99.0,2004-03-18 23:00:00,23,18,3,3,0,-0.25881904510252157,0.9659258262890681,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17
2.0,936.25,8.92137891672246,1287.25,1040.0,126.0,918.0,106.0,2004-03-19 00:00:00,0,19,3,4,0,0.0,1.0,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
1.6,840.0,6.61866637230466,1134.25,917.0,103.0,1021.25,96.0,2004-03-19 01:00:00,1,19,3,4,0,0.25881904510252074,0.9659258262890683,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
0.9,687.75,3.5941382910062885,998.75,593.5,48.0,1228.5,63.0,2004-03-19 02:00:00,2,19,3,4,0,0.49999999999999994,0.8660254037844387,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
0.7,621.5,2.5294405041814083,960.75,430.25,179.8,1381.5,109.0,2004-03-19 03:00:00,3,19,3,4,0,0.7071067811865476,0.7071067811865476,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
0.7,606.75,2.314320289312677,969.25,438.0,56.0,1372.5,61.0,2004-03-19 06:00:00,6,19,3,4,0,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
1.5,845.0,6.731036454520945,1181.5,704.25,115.0,1054.0,99.0,2004-03-19 07:00:00,7,19,3,4,0,0.9659258262890683,-0.25881904510252063,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
4.0,1275.0,19.238006003954073,1427.0,1398.0,253.0,700.5,149.0,2004-03-19 10:00:00,10,19,3,4,0,0.49999999999999994,-0.8660254037844387,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
3.3,1190.75,16.363388395708625,1389.5,1267.5,218.0,758.75,135.0,2004-03-19 11:00:00,11,19,3,4,0,0.258819045102521,-0.9659258262890682,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
2.8,1117.25,14.019301019815009,1283.0,1188.25,192.0,813.0,127.0,2004-03-19 12:00:00,12,19,3,4,0,1.2246467991473532e-16,-1.0,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
3.0,1156.75,15.259858728740529,1303.5,1170.5,176.0,793.0,122.0,2004-03-19 13:00:00,13,19,3,4,0,-0.2588190451025208,-0.9659258262890683,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
3.3,1201.75,16.72742509453297,1364.0,1250.25,198.0,770.75,135.0,2004-03-19 14:00:00,14,19,3,4,0,-0.4999999999999997,-0.8660254037844388,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
3.5,1268.25,19.000414929848503,1409.75,1344.0,212.0,724.25,139.0,2004-03-19 15:00:00,15,19,3,4,0,-0.7071067811865471,-0.7071067811865479,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
4.0,1280.0,19.414810317786973,1476.0,1378.0,249.0,708.0,147.0,2004-03-19 16:00:00,16,19,3,4,0,-0.8660254037844385,-0.5000000000000004,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
4.6,1320.25,20.863108493812085,1522.0,1435.25,270.0,689.75,158.0,2004-03-19 17:00:00,17,19,3,4,0,-0.9659258262890683,-0.25881904510252063,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
4.1,1301.0,20.16490280922038,1441.75,1372.25,231.0,704.0,146.0,2004-03-19 18:00:00,18,19,3,4,0,-1.0,-1.8369701987210297e-16,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
4.5,1344.25,21.74774817937002,1469.0,1471.0,251.0,677.25,144.0,2004-03-19 19:00:00,19,19,3,4,0,-0.9659258262890684,0.2588190451025203,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
3.9,1292.0,19.841950486357188,1467.25,1438.75,210.0,697.5,138.0,2004-03-19 20:00:00,20,19,3,4,0,-0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
4.0,1202.25,16.744053307157127,1420.5,1428.5,249.0,747.5,143.0,2004-03-19 21:00:00,21,19,3,4,0,-0.7071067811865477,0.7071067811865474,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
2.2,945.0,9.145099271304806,1175.0,1080.5,143.0,903.75,116.0,2004-03-19 22:00:00,22,19,3,4,0,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
2.1,911.5,8.301413416761816,1215.0,993.0,127.0,947.75,109.0,2004-03-19 23:00:00,23,19,3,4,0,-0.25881904510252157,0.9659258262890681,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17
1.7,802.0,5.79119163455987,1126.75,837.0,104.0,1064.0,92.0,2004-03-20 00:00:00,0,20,3,5,1,0.0,1.0,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
1.6,773.0,5.191654203204007,1090.25,761.0,86.0,1105.25,83.0,2004-03-20 01:00:00,1,20,3,5,1,0.25881904510252074,0.9659258262890683,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
1.3,717.5,4.1231866000360915,1017.0,650.25,74.0,1181.75,81.0,2004-03-20 02:00:00,2,20,3,5,1,0.49999999999999994,0.8660254037844387,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
1.3,677.0,3.410629499321059,997.25,590.75,179.8,1252.25,109.0,2004-03-20 03:00:00,3,20,3,5,1,0.7071067811865476,0.7071067811865476,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
1.8,646.25,2.908548009422834,944.75,505.0,44.0,1308.0,55.0,2004-03-20 04:00:00,4,20,3,5,1,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
0.8,661.25,3.149209600499938,955.75,518.0,42.0,1259.75,53.0,2004-03-20 05:00:00,5,20,3,5,1,0.9659258262890683,0.25881904510252074,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
0.8,621.5,2.5294405041814083,966.25,570.75,63.0,1316.75,67.0,2004-03-20 06:00:00,6,20,3,5,1,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
1.1,727.5,4.307931854750126,1064.0,842.0,115.0,1160.5,91.0,2004-03-20 07:00:00,7,20,3,5,1,0.9659258262890683,-0.25881904510252063,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.1,934.75,8.883264240647636,1299.75,1144.75,170.0,902.25,113.0,2004-03-20 08:00:00,8,20,3,5,1,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.4,997.75,10.543474253928526,1348.0,1218.25,147.0,833.75,102.0,2004-03-20 09:00:00,9,20,3,5,1,0.7071067811865476,-0.7071067811865475,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.6,1067.5,12.521106305109699,1424.5,1341.0,166.0,776.25,107.0,2004-03-20 10:00:00,10,20,3,5,1,0.49999999999999994,-0.8660254037844387,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.8,1061.0,12.330711570529866,1473.75,1405.5,195.0,767.5,113.0,2004-03-20 11:00:00,11,20,3,5,1,0.258819045102521,-0.9659258262890682,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.6,1038.75,11.688419353879642,1489.75,1421.5,182.0,782.25,108.0,2004-03-20 12:00:00,12,20,3,5,1,1.2246467991473532e-16,-1.0,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.6,1040.0,11.724114404886208,1494.75,1373.0,168.0,808.75,105.0,2004-03-20 13:00:00,13,20,3,5,1,-0.2588190451025208,-0.9659258262890683,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.1,952.5,9.338736657793214,1375.5,1153.25,125.0,899.5,93.0,2004-03-20 14:00:00,14,20,3,5,1,-0.4999999999999997,-0.8660254037844388,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
1.7,884.0,7.6350173007290705,1304.75,927.25,95.0,980.0,87.0,2004-03-20 15:00:00,15,20,3,5,1,-0.7071067811865471,-0.7071067811865479,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
1.6,844.25,6.714129541810949,1282.5,766.25,79.0,1035.5,76.0,2004-03-20 16:00:00,16,20,3,5,1,-0.8660254037844385,-0.5000000000000004,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.1,967.25,9.724590097455225,1392.25,941.25,119.0,929.75,94.0,2004-03-20 17:00:00,17,20,3,5,1,-0.9659258262890683,-0.25881904510252063,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
2.3,1063.0,12.389162076428056,1452.25,1146.0,142.0,855.5,110.0,2004-03-20 18:00:00,18,20,3,5,1,-1.0,-1.8369701987210297e-16,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
3.5,1199.25,16.644389712822854,1633.0,1416.5,215.0,734.0,136.0,2004-03-20 19:00:00,19,20,3,5,1,-0.9659258262890684,0.2588190451025203,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
3.9,1191.0,16.37162401440561,1624.5,1442.0,229.0,732.75,139.0,2004-03-20 20:00:00,20,20,3,5,1,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
3.3,1108.0,13.73529005407188,1534.5,1323.25,206.0,785.25,125.0,2004-03-20 21:00:00,21,20,3,5,1,-0.7071067811865477,0.7071067811865474,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17
