CO(GT),PT08_S2(NMHC),C6H6(GT),PT08_S1(CO),PT08_S5(O3),NOx(GT),PT08_S3(NOx),NO2(GT),datetime,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,time_idx,group
2.6,1045.5,11.881723488680304,1360.0,1267.5,166.0,1056.25,113.0,2004-03-10 18:00:00,18,10,3,2,0,-1.0,-1.8369701987210297e-16,0.8978045395707416,-0.4403941515576344,1.0,6.123233995736766e-17,0,default
2.9,1019.75,11.151581216129403,1383.0,1104.0,243.0,1008.0,135.0,2004-03-11 17:00:00,17,11,3,3,0,-0.9659258262890683,-0.25881904510252063,0.7907757369376989,-0.6121059825476626,1.0,6.123233995736766e-17,1,default
1.8,1353.0,22.074162063223632,1544.5,1587.75,179.8,767.25,109.0,2004-03-12 09:00:00,9,12,3,4,0,0.7071067811865476,-0.7071067811865475,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17,2,default
3.0,1045.0,11.867358322901142,1457.75,1098.5,170.0,973.75,129.0,2004-03-14 16:00:00,16,14,3,6,1,-0.8660254037844385,-0.5000000000000004,0.29936312297335804,-0.9541392564000488,1.0,6.123233995736766e-17,3,default
4.5,1332.5,21.31268654106716,1616.5,1818.5,349.0,685.75,150.0,2004-03-18 10:00:00,10,18,3,3,0,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,4,default
2.8,1126.5,14.305786381113023,1472.75,1567.75,224.0,830.5,152.0,2004-03-18 11:00:00,11,18,3,3,0,0.258819045102521,-0.9659258262890682,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,5,default
2.2,1067.5,12.521106305109699,1378.5,1373.5,171.0,898.75,139.0,2004-03-18 12:00:00,12,18,3,3,0,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,6,default
2.2,1056.25,12.192364229470941,1385.25,1267.5,149.0,891.0,133.0,2004-03-18 13:00:00,13,18,3,3,0,-0.2588190451025208,-0.9659258262890683,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,7,default
2.3,1086.75,13.092244786448635,1378.75,1143.5,137.0,901.25,126.0,2004-03-18 14:00:00,14,18,3,3,0,-0.4999999999999997,-0.8660254037844388,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,8,default
2.2,1128.6666666667,14.373247939096442,1321.6666666667,1109.3333333333,149.0,933.66666666667,128.0,2004-03-18 15:00:00,15,18,3,3,0,-0.7071067811865471,-0.7071067811865479,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,9,default
2.8,1205.0,16.835634342955675,1495.75,1347.25,172.0,822.0,169.0,2004-03-18 16:00:00,16,18,3,3,0,-0.8660254037844385,-0.5000000000000004,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,10,default
2.7,1131.25,14.453859645603398,1408.75,1205.75,166.0,873.0,149.0,2004-03-18 17:00:00,17,18,3,3,0,-0.9659258262890683,-0.25881904510252063,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,11,default
3.7,1338.0,21.515865798889894,1512.75,1397.0,214.0,764.25,156.0,2004-03-18 18:00:00,18,18,3,3,0,-1.0,-1.8369701987210297e-16,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,12,default
3.2,1121.25,14.142883364271057,1430.25,1321.5,178.0,814.0,135.0,2004-03-18 21:00:00,21,18,3,3,0,-0.7071067811865477,0.7071067811865474,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,13,default
2.1,989.0,10.305664104042567,1333.25,1194.0,129.0,885.25,121.0,2004-03-18 22:00:00,22,18,3,3,0,-0.5000000000000004,0.8660254037844384,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,14,default
1.7,910.5,8.276765149047742,1261.5,1061.5,95.0,948.25,99.0,2004-03-18 23:00:00,23,18,3,3,0,-0.25881904510252157,0.9659258262890681,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,15,default
2.0,936.25,8.92137891672246,1287.25,1040.0,126.0,918.0,106.0,2004-03-19 00:00:00,0,19,3,4,0,0.0,1.0,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,16,default
1.6,840.0,6.61866637230466,1134.25,917.0,103.0,1021.25,96.0,2004-03-19 01:00:00,1,19,3,4,0,0.25881904510252074,0.9659258262890683,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,17,default
